"SalesRankID","SalesRank"
"879","2759"
"880","2765"
"881","2785"
"882","2787"
"883","2789"
"884","2798"
"885","2821"
"886","2822"
"887","2824"
"888","2836"
"889","2838"
"890","2846"
"891","2851"
"892","2856"
"893","2870"
"894","2882"
"895","2896"
"896","2897"
"897","2899"
"898","2902"
"899","2904"
"900","2905"
"901","2911"
"902","2914"
"903","2917"
"904","2919"
"905","2923"
"906","2924"
"907","2929"
"908","2930"
"909","2931"
"910","2932"
"911","2941"
"912","2946"
"913","2950"
"914","2952"
"915","2960"
"916","2966"
"917","2970"
"918","2971"
"919","2972"
"920","2976"
"921","2977"
"922","3001"
"923","3002"
"924","3006"
"925","3009"
"926","3014"
"927","3019"
"928","3020"
"929","3022"
"930","3023"
"931","3025"
"932","3027"
"933","3028"
"934","3032"
"935","3034"
"936","3035"
"937","3039"
"938","3040"
"939","3042"
"940","3047"
"941","3049"
"942","3051"
"943","3056"
"944","3060"
"945","3064"
"946","3068"
"947","3075"
"948","3082"
"949","3084"
"950","3098"
"951","3102"
"952","3105"
"953","3114"
"954","3115"
"955","3120"
"956","3123"
"957","3124"
"958","3125"
"959","3127"
"960","3130"
"961","3133"
"962","3142"
"963","3148"
"964","3150"
"965","3152"
"966","3161"
"967","3167"
"968","3168"
"969","3172"
"970","3175"
"971","3181"
"972","3183"
"973","3190"
"974","3193"
"975","3202"
"976","3205"
"977","3223"
"978","3224"
"979","3225"
"980","3228"
"981","3231"
"982","3236"
"983","3249"
"984","3254"
"985","3257"
"986","3270"
"987","3271"
"988","3274"
"989","3278"
"990","3281"
"991","3285"
"992","3286"
"993","3311"
"994","3322"
"995","3326"
"996","3328"
"997","3329"
"998","3330"
"999","3333"
"1000","3335"
"1001","3341"
"1002","3342"
"1003","3348"
"1004","3351"
"1005","3354"
"1006","3363"
"1007","3364"
"1008","3367"
"1009","3371"
"1010","3376"
"1011","3381"
"1012","3391"
"1013","3392"
"1014","3394"
"1015","3399"
"1016","3406"
"1017","3407"
"1018","3411"
"1019","3419"
"1020","3422"
"1021","3429"
"1022","3430"
"1023","3440"
"1024","3444"
"1025","3446"
"1026","3456"
"1027","3457"
"1028","3458"
"1029","3465"
"1030","3470"
"1031","3472"
"1032","3473"
"1033","3474"
"1034","3478"
"1035","3479"
"1036","3489"
"1037","3490"
"1038","3493"
"1039","3495"
"1040","3497"
"1041","3498"
"1042","3504"
"1043","3505"
"1044","3510"
"1045","3532"
"1046","3535"
"1047","3544"
"1048","3557"
"1049","3574"
"1050","3576"
"1051","3578"
"1052","3581"
"1053","3587"
"1054","3588"
