"id","NbrePages10ID","livreID"
"1042","39","1042"
"1043","70","1043"
"1044","43","1044"
"1045","17","1045"
"1046","44","1046"
"1047","36","1047"
"1048","26","1048"
"1049","49","1049"
"1050","49","1050"
"1051","51","1051"
"1052","41","1052"
"1053","49","1053"
"1054","44","1054"
"1055","36","1055"
"1056","79","1056"
"1057","62","1057"
"1058","30","1058"
"1059","52","1059"
"1060","49","1060"
"1061","44","1061"
"1062","30","1062"
"1063","56","1063"
"1064","52","1064"
"1065","20","1065"
"1066","68","1066"
"1067","26","1067"
"1068","93","1068"
"1069","64","1069"
"1070","33","1070"
"1071","39","1071"
"1072","37","1072"
"1073","20","1073"
"1074","17","1074"
"1075","39","1075"
"1076","71","1076"
"1077","37","1077"
"1078","20","1078"
"1079","68","1079"
"1080","78","1080"
"1081","33","1081"
"1082","75","1082"
"1083","30","1083"
"1084","14","1084"
"1085","73","1085"
"1086","30","1086"
"1087","71","1087"
"1088","56","1088"
"1089","59","1089"
"1090","45","1090"
"1091","80","1091"
"1092","23","1092"
"1093","19","1093"
"1094","59","1094"
"1095","36","1095"
"1096","26","1096"
"1097","39","1097"
"1098","51","1098"
"1099","39","1099"
"1100","30","1100"
"1101","36","1101"
"1102","21","1102"
"1103","27","1103"
"1104","27","1104"
"1105","33","1105"
"1106","28","1106"
"1107","30","1107"
"1108","68","1108"
"1109","30","1109"
"1110","25","1110"
"1111","33","1111"
"1112","1","1112"
"1113","22","1113"
"1114","78","1114"
"1115","67","1115"
"1116","1","1116"
"1117","30","1117"
"1118","20","1118"
"1119","20","1119"
"1120","125","1120"
"1121","78","1121"
"1122","23","1122"
"1123","49","1123"
"1124","46","1124"
"1125","23","1125"
"1126","41","1126"
"1127","37","1127"
"1128","61","1128"
"1129","14","1129"
"1130","138","1130"
"1131","36","1131"
"1132","7","1132"
"1133","38","1133"
"1134","52","1134"
"1135","43","1135"
"1136","21","1136"
"1137","65","1137"
"1138","17","1138"
"1139","22","1139"
"1140","55","1140"
"1141","20","1141"
"1142","36","1142"
"1143","23","1143"
"1144","19","1144"
"1145","46","1145"
"1146","28","1146"
"1147","36","1147"
"1148","28","1148"
"1149","51","1149"
"1150","33","1150"
"1151","52","1151"
"1152","33","1152"
"1153","46","1153"
"1154","64","1154"
"1155","61","1155"
"1156","74","1156"
"1157","114","1157"
"1158","14","1158"
"1159","25","1159"
"1160","158","1160"
"1161","14","1161"
"1162","78","1162"
"1163","26","1163"
"1164","65","1164"
"1165","64","1165"
"1166","148","1166"
"1167","15","1167"
"1168","115","1168"
"1169","87","1169"
"1170","24","1170"
"1171","36","1171"
"1172","46","1172"
"1173","199","1173"
"1174","12","1174"
"1175","58","1175"
"1176","100","1176"
"1177","49","1177"
"1178","20","1178"
"1179","109","1179"
"1180","37","1180"
"1181","48","1181"
"1182","106","1182"
"1183","63","1183"
"1184","178","1184"
"1185","42","1185"
"1186","43","1186"
"1187","19","1187"
"1188","14","1188"
"1189","137","1189"
"1190","62","1190"
"1191","113","1191"
"1192","33","1192"
"1193","31","1193"
"1194","36","1194"
"1195","146","1195"
"1196","84","1196"
"1197","11","1197"
"1198","19","1198"
"1199","29","1199"
"1200","26","1200"
"1201","65","1201"
"1202","33","1202"
"1203","76","1203"
"1204","58","1204"
"1205","27","1205"
"1206","54","1206"
"1207","84","1207"
"1208","58","1208"
"1209","51","1209"
"1210","69","1210"
"1211","1","1211"
"1212","90","1212"
"1213","46","1213"
"1214","47","1214"
"1215","29","1215"
"1216","38","1216"
"1217","25","1217"
"1218","130","1218"
"1219","33","1219"
"1220","79","1220"
"1221","58","1221"
"1222","34","1222"
"1223","19","1223"
"1224","58","1224"
"1225","35","1225"
"1226","28","1226"
"1227","164","1227"
"1228","26","1228"
"1229","39","1229"
"1230","17","1230"
"1231","34","1231"
"1232","23","1232"
"1233","129","1233"
"1234","36","1234"
"1235","29","1235"
