"SerieID","id_allocine","titre_fr","titre_vo","poster","synopsis"
"7149","11630","Code Lyoko Evolution","Code Lyoko Evolution",NULL,NULL
"7150","11631","Hot Mess","Hot Mess","http://fr.web.img2.acsta.net/medias/nmedia/18/94/70/28/20349528.jpg","Le quotidien d'Amanda Marshall, dont la vie est partagée entre son ancien et son actuel petit ami qui se disputent ses faveurs, et ses amis de l?université. Son entourage se compose de sa meilleure et plus proche amie Vivi, de Nick et son acolyte Todd."
"7151","11632","Plebs","Plebs","http://fr.web.img1.acsta.net/medias/nmedia/18/94/70/41/20352955.jpg","Dans la Grande Rome Antique, Marcus, Stylax et Grumio, leur esclave flemmard, sont trois jeunes hommes désespérés, qui ne pensent qu'au sexe, qui sont coincés dans des jobs sans avenir, qui vivent en banlieue et qui tentent de gravir les échelons de l'échelle sociale..."
"7152","11635","Chambre 327","Chambre 327","http://fr.web.img6.acsta.net/medias/nmedia/18/95/12/82/20382115.jpg","Depuis la mort de son mari, Jade dirige seule le palace, propriété des Marsac depuis plusieurs générations. Le jour des fiançailles de sa fille, Fabien, son futur gendre, est retrouvé assassiné dans une des suites de l'hôtel en compagnie d'une prostituée. Comment s'en sortir quand sa fille est accusée..."
"7153","11636","Rake (US)","Rake (US)","http://fr.web.img3.acsta.net/pictures/14/02/01/17/56/264134.jpg","Brillant avocat de la défense, Cleaver Greene a un comportement parfois autodestructeur, n'hésitant pas à prendre les situations à contrepied...Adaptation US de la série australienne Rake."
"7154","11637","Les Souverains","Les Souverains","http://fr.web.img1.acsta.net/medias/nmedia/18/94/73/83/20352688.jpg","Coincé dans le corps d'un jeune humain depuis plus de soixante ans, Gaël, une entité extraterrestre, protège le contenu d'une mystérieuse sacoche. Sur Terre, il est poursuivi par des Styrs, un peuple issu de la même espèce, apparaissant sous forme de fumée noire et pouvant se dématérialiser pour se téléporter..."
"7155","11639","Last Tango In Halifax","Last Tango In Halifax","http://fr.web.img6.acsta.net/medias/nmedia/18/94/75/80/20354101.jpg","Alan Buttershaw et Celia Dawson, d'anciens amours de jeunesse, ne se sont pas vus depuis 60 ans. Ils ont chacun été mariés, eu des enfants, mais sont désormais veufs et seuls. Leurs petits-enfants respectifs les inscrivent alors tous deux sur Facebook et ils ne tardent pas à se retrouver..."
"7156","11641","Browsers","Browsers","http://fr.web.img3.acsta.net/medias/nmedia/18/94/75/94/20354255.jpg","La vie de quatre stagiaires au sein de la rédaction d'un site d'informations sur Internet."
"7157","11643","Sam Hunter","Sam Hunter","http://fr.web.img6.acsta.net/medias/nmedia/18/94/80/87/20358373.jpg","Spin-off de la série Hunted."
"7158","11644","Crime Stories","Crime Stories","http://fr.web.img5.acsta.net/medias/nmedia/18/94/82/51/20359321.jpg","Deux policiers découvrent la vérité derrière de nouveaux crimes en se servant de méthodes inhabituelles : interviews, vidéo-surveillances, ou encore leurs expériences de détective..."
"7159","11645","The Town","The Town","http://fr.web.img4.acsta.net/medias/nmedia/18/94/82/98/20359624.jpg","Mark Nicholas revient dans sa ville natale, qu'il a quittée il y a bien longtemps. Il découvre que sa grand-mère occupe désormais sa chambre, et apprend à connaître sa petite-s?ur, Jodie, qui est en pleine adolescence. Mark va aussi découvrir que la vie a continué pendant son absence et que d'autres..."
"7160","11646","La Famille Katz","La Famille Katz","http://fr.web.img1.acsta.net/pictures/210/560/21056003_20131107191254065.jpg","Katz est une série sur la famille, une famille terriblement humaine, incroyablement excessive, délicieusement dysfonctionnelle et barrée. Une famille très accueillante très étouffante aussi, dont on aime la chaleur et le réconfort, dont il faut savoir s?évader pour trouver l?oxygène indispensable à son..."
"7161","11647","The Mimic","The Mimic","http://fr.web.img5.acsta.net/medias/nmedia/18/94/84/76/20499781.jpg","Martin Hurdle est un agent d'entretien en apparence des plus banales. Mais en réalité, il dissimule un talent exceptionnel : il a l'étrange capacité de reproduire les voix des autres. Jusqu'à présent, ses imitations de célébrités et de coll&egrave..."
"7162","11648","Southcliffe","Southcliffe","http://fr.web.img1.acsta.net/pictures/210/245/21024546_20130805153243367.jpg","La petite ville anglaise de Southcliffe voit s'abattre sur elle une vague de fusillades, causant la mort de nombreuses personnes. Un journaliste revient dans cet endroit qui l'a vu grandir. Il est témoin des différentes émotions ressenties par les proches des victimes à la suite de ces évènements."
"7163","11650","Key and Peele","Key and Peele","http://fr.web.img1.acsta.net/medias/nmedia/18/94/85/16/20361131.jpg","Parodies de séries ou de films, sujets de société renversés, situations étranges ou gênantes, pied de nez à certains comportements... Dans leur émission live, Jordan Peele et Keegan-Michael Key se mettent en scène au cours de sketches scénarisés."
"7164","11651","Full English","Full English","http://fr.web.img1.acsta.net/medias/nmedia/18/94/89/78/20363690.jpg","Edgar Johnson travaille (pour un salaire misérable) pour son obsédé, dérangé et démoniaque beau-père : Ken Lavender. Il est marié à Wendy, une femme très fière de sa personne, avec qui il a eu trois enfants des plus différents : l'homme-enfant et idiot Dusty, l'aimable Jason, et l'Emo Eve..."
"7165","11652","La Légende de Korra","The Legend of Korra","http://fr.web.img4.acsta.net/medias/nmedia/18/94/90/33/20363908.jpg","70 ans après les événements d?Avatar, le Dernier Maître de l'Air, voici les aventures du nouvel élu, une adolescente passionnée, courageuse et intrépide de la Tribu d?eau du Sud nommée Korra."
"7166","11653","What Remains","What Remains",NULL,"Le corps de Melissa Young, une jeune femme d'une trentaine d'année, est retrouvé en décomposition dans le grenier de son appartement, deux ans après sa mort. Comment se fait-il que personne n'ait signalé sa disparition, ou même remarqué qu'elle était partie ? Qu'elle vie a-t-elle vécu et qu'elle était..."
"7167","11654","By Any Means","By Any Means","http://fr.web.img6.acsta.net/medias/nmedia/18/94/92/39/20365726.jpg","Un département secret de la police prend le relais pour amener devant la Justice les plus grands criminels lorsque le système légal classique échoue."
"7168","11655","Perfect Crime","The Escape Artist","http://fr.web.img3.acsta.net/pictures/15/01/06/15/32/071579.jpg","Will Burton est un jeune et brillant avocat, plein de charme, spécialiste des cas sans espoirs, dans lesquels des accusés sont condamnés d'avance. N'ayant jamais perdu la moindre affaire, il est très demandé. Mais lorsqu'il parvient à faire libérer le célèbre suspect principal d'un meurtre effroyable..."
"7169","11656","Way To Go","Way To Go","http://fr.web.img5.acsta.net/medias/nmedia/18/94/93/05/20432034.jpg","L'histoire de deux frères, Scott et Joey, et de leur ami Cozzo. Lorsqu'un voisin malade, en phase terminale, demande de l'aide pour abréger ses souffrances, Scott décide avec Cozzo d'honorer la requête de cette personne en prévoyant d'organiser un suicide assisté. Un projet totalement illégal qu'ils..."
"7170","11657","The Great Train Robbery","The Great Train Robbery","http://fr.web.img6.acsta.net/pictures/210/138/21013826_20130619155616279.jpg","Le récit des deux hold-up les plus tristement célèbres de l'histoire britannique : - Dans Le conte des Voleurs, un gang se voit garantir une infinie richesse grâce à un crime des plus audacieux.- Le conte des Coppers se concentre sur Tommy Butler et son équipe de détectives, réunis dans la traque..."
"7171","11658","Happy Valley","Happy Valley","http://fr.web.img5.acsta.net/pictures/14/12/18/13/06/236311.jpg","Catherine Crowther est sergent de garde, quand le Colin Weatherill fait irruption pour rapporter un crime. Il craque et explique qu?il a organisé un complot pour enlever la fille de son patron. Mais, maintenant que le caïd, David Cowgill, a mis le plan en action, il réalise l'horreur de son projet"
"7172","11659","The Poison Tree","The Poison Tree","http://fr.web.img4.acsta.net/medias/nmedia/18/95/52/45/20411807.jpg","Karen Clarke attend la sortie de prison de Rex, son compagnon depuis maintenant 12 ans. Enfin libéré, ils décident de repartir à zéro afin de mener une vie de famille normale avec leur fille de 11 ans dans une maison au bord de la mer. Mais le bonheur est éphémère. Karen commence à recevoir des appels..."
"7173","11660","Instant Mom","Instant Mom","http://fr.web.img3.acsta.net/pictures/13/12/10/11/07/599049.jpg","Une jeune femme de 25 ans troque sa vie de fêtarde, contre celle d'épouse responsable de trois enfants, le jour où elle épouse l'homme qu'elle aime... un homme plus âgé."
"7174","11663","Turn: Washington's Spies","Turn: Washington's Spies","http://fr.web.img3.acsta.net/pictures/15/03/04/10/30/509943.jpg","Automne 1776. Un fermier de Long Island nommé Abe Woodhull est recruté malgré lui par des amis d'enfance pour former avec eux un groupe d'espions, qui inversera le cours de l'histoire des États-Unis dans son combat pour l?indépendance..."
