"id","note_allocine_publicID","filmID"
"2350","13","2862"
"2351","22","2863"
"2352","21","2864"
"2353","19","2865"
"2354","24","2866"
"2355","5","2867"
"2356","20","2869"
"2357","19","2870"
"2358","27","2871"
"2359","9","2872"
"2360","18","2873"
"2361","26","2874"
"2362","19","2875"
"2363","18","2876"
"2364","29","2878"
"2365","20","2880"
"2366","20","2881"
"2367","17","2882"
"2368","19","2884"
"2369","31","2885"
"2370","21","2886"
"2371","20","2887"
"2372","15","2888"
"2373","20","2889"
"2374","19","2890"
"2375","16","2891"
"2376","18","2892"
"2377","22","2893"
"2378","17","2894"
"2379","21","2895"
"2380","17","2896"
"2381","15","2897"
"2382","24","2898"
"2383","22","2899"
"2384","20","2900"
"2385","29","2901"
"2386","23","2904"
"2387","16","2905"
"2388","19","2906"
"2389","19","2907"
"2390","24","2908"
"2391","25","2909"
"2392","18","2910"
"2393","18","2911"
"2394","23","2913"
"2395","25","2914"
"2396","24","2915"
"2397","25","2916"
"2398","18","2917"
"2399","21","2918"
"2400","25","2919"
"2401","24","2920"
"2402","16","2921"
"2403","24","2922"
"2404","29","2923"
"2405","26","2924"
"2406","26","2925"
"2407","26","2926"
"2408","19","2927"
"2409","18","2928"
"2410","19","2929"
"2411","22","2930"
"2412","21","2931"
"2413","18","2932"
"2414","20","2934"
"2415","11","2935"
"2416","23","2936"
"2417","25","2937"
"2418","28","2938"
"2419","18","2939"
"2420","19","2942"
"2421","27","2945"
"2422","22","2949"
"2423","18","2950"
"2424","17","2952"
"2425","28","2954"
"2426","29","2955"
"2427","25","2956"
"2428","19","2957"
"2429","20","2958"
"2430","28","2959"
"2431","24","2960"
"2432","19","2961"
"2433","18","2962"
"2434","29","2963"
"2435","18","2964"
"2436","21","2965"
"2437","19","2966"
"2438","19","2967"
"2439","18","2968"
"2440","29","2969"
"2441","31","2970"
"2442","23","2971"
"2443","18","2972"
"2444","23","2973"
"2445","25","2974"
"2446","16","2975"
"2447","27","2976"
"2448","13","2977"
"2449","17","2978"
"2450","20","2980"
"2451","20","2981"
"2452","22","2982"
"2453","19","2983"
"2454","19","2984"
"2455","32","2985"
"2456","27","2986"
"2457","17","2988"
"2458","23","2989"
"2459","18","2990"
"2460","18","2991"
"2461","25","2993"
"2462","14","2994"
"2463","25","2996"
"2464","20","2997"
"2465","24","2998"
"2466","27","2999"
"2467","19","3000"
"2468","24","3001"
"2469","20","3002"
"2470","13","3005"
"2471","18","3007"
"2472","19","3008"
"2473","19","3009"
"2474","19","3010"
"2475","17","3011"
"2476","21","3012"
"2477","19","3013"
"2478","19","3015"
"2479","28","3016"
"2480","19","3023"
"2481","26","3024"
"2482","18","3025"
"2483","23","3027"
"2484","19","3028"
"2485","21","3030"
"2486","19","3031"
"2487","28","3032"
"2488","25","3035"
"2489","22","3036"
"2490","19","3037"
"2491","20","3039"
"2492","25","3041"
"2493","21","3044"
"2494","27","3046"
"2495","21","3048"
"2496","31","3049"
"2497","15","3051"
"2498","18","3052"
"2499","24","3054"
"2500","27","3055"
"2501","18","3056"
"2502","19","3058"
"2503","20","3061"
"2504","28","3063"
"2505","28","3064"
"2506","22","3065"
"2507","22","3067"
"2508","25","3068"
"2509","24","3069"
"2510","20","3070"
"2511","24","3073"
"2512","20","3074"
"2513","24","3076"
"2514","22","3077"
"2515","25","3078"
"2516","15","3079"
"2517","19","3082"
"2518","20","3083"
"2519","29","3084"
"2520","25","3085"
"2521","19","3086"
"2522","17","3087"
"2523","24","3088"
"2524","27","3089"
"2525","22","3091"
"2526","17","3092"
"2527","19","3094"
"2528","15","3097"
"2529","20","3098"
"2530","19","3099"
"2531","18","3100"
"2532","18","3101"
"2533","12","3105"
"2534","29","3106"
"2535","18","3110"
"2536","17","3111"
"2537","18","3113"
"2538","19","3114"
"2539","22","3115"
"2540","18","3116"
"2541","17","3117"
"2542","20","3118"
"2543","25","3119"
"2544","21","3120"
"2545","23","3121"
"2546","16","3122"
"2547","30","3123"
"2548","16","3124"
"2549","14","3125"
"2550","17","3126"
"2551","19","3127"
"2552","20","3128"
"2553","22","3129"
"2554","17","3130"
"2555","28","3131"
"2556","21","3132"
"2557","18","3134"
"2558","21","3136"
"2559","25","3137"
"2560","23","3138"
"2561","20","3139"
"2562","17","3141"
"2563","20","3142"
"2564","20","3143"
"2565","27","3144"
"2566","18","3145"
"2567","23","3146"
"2568","25","3147"
"2569","20","3148"
"2570","26","3149"
"2571","19","3150"
"2572","19","3152"
"2573","19","3153"
"2574","24","3154"
"2575","28","3156"
"2576","18","3157"
"2577","20","3158"
"2578","19","3160"
"2579","21","3161"
"2580","17","3162"
"2581","24","3163"
"2582","19","3164"
"2583","21","3165"
"2584","28","3166"
"2585","23","3167"
"2586","21","3168"
"2587","18","3170"
"2588","19","3171"
"2589","20","3172"
"2590","19","3173"
"2591","19","3175"
"2592","27","3176"
"2593","8","3178"
"2594","20","3179"
"2595","24","3180"
"2596","23","3181"
"2597","19","3182"
"2598","26","3183"
"2599","19","3185"
"2600","18","3186"
"2601","21","3187"
"2602","19","3188"
"2603","21","3189"
"2604","29","3191"
"2605","19","3192"
"2606","22","3193"
"2607","25","3194"
"2608","19","3195"
"2609","22","3196"
"2610","30","3197"
"2611","26","3198"
"2612","23","3199"
"2613","19","3200"
"2614","17","3201"
"2615","18","3202"
"2616","19","3204"
"2617","15","3206"
"2618","19","3209"
"2619","16","3214"
"2620","18","3215"
"2621","19","3218"
"2622","26","3219"
"2623","20","3220"
"2624","20","3221"
"2625","22","3222"
"2626","20","3223"
"2627","19","3224"
"2628","18","3225"
"2629","18","3226"
"2630","15","3228"
"2631","20","3229"
"2632","20","3230"
"2633","22","3231"
"2634","19","3232"
"2635","22","3235"
"2636","19","3239"
"2637","21","3240"
"2638","26","3241"
"2639","19","3243"
"2640","21","3245"
"2641","21","3246"
"2642","21","3248"
"2643","19","3250"
"2644","19","3254"
"2645","22","3255"
"2646","22","3256"
"2647","19","3257"
"2648","20","3258"
"2649","20","3259"
